Id,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13
ENSCGRG00001000002,6520,518,249,242,234,461,339,301,226,274,334,212
ENSCGRG00001000004,35416,37482,931,674,15557,29897,8754,9540,19052,20320,8796,7083
ENSCGRG00001000006,1707,1485,467,567,882,1243,1139,1212,1132,1222,1307,845
ENSCGRG00001000010,1750,1835,535,567,1006,1484,1549,1418,1344,1621,1400,1030
ENSCGRG00001000016,1101299,1124477,446311,502551,633130,929948,855651,863930,832372,892929,993682,743499
ENSCGRG00001000019,1220,1234,417,419,753,1058,841,901,985,1030,1091,773
ENSCGRG00001000021,105,122,34,42,70,87,85,100,81,124,80,35
ENSCGRG00001000022,1211,1136,346,378,667,956,766,789,942,962,843,523
ENSCGRG00001000023,2052,1928,714,854,995,1565,1574,1519,1584,1672,1941,1505
ENSCGRG00001000025,119,111,29,38,71,136,62,92,130,146,66,68
ENSCGRG00001000027,324,365,150,197,196,250,276,295,192,247,317,226
ENSCGRG00001000028,1680,1700,747,922,792,1225,1201,1265,972,1119,1821,1122
ENSCGRG00001000032,914,883,326,540,517,659,674,671,598,626,923,642
ENSCGRG00001000033,739,906,271,334,431,912,644,660,660,798,885,541
ENSCGRG00001000035,248308,243768,88972,112924,141752,184305,206257,208306,163011,179129,199844,147858
ENSCGRG00001000037,20530,20451,14888,23036,6770,10138,12288,16289,7106,7689,34321,23501
ENSCGRG00001000039,114237,129573,92299,107576,104987,112258,108593,105168,101755,103646,91886,92799
ENSCGRG00001000040,6254,6894,5531,5666,5388,6899,5837,5706,6425,6439,5290,5301
ENSCGRG00001000041,4277,5175,5309,5766,4989,5421,5179,4961,4586,5041,5879,6021
ENSCGRG00001000042,200,188,157,129,108,214,175,196,192,173,133,180
ENSCGRG00001000044,1353,1595,2018,1932,1458,2016,1374,1506,1851,1931,1513,1386
ENSCGRG00001000046,4344,5266,5880,5723,4910,6423,5660,5968,5882,6346,5738,5219
ENSCGRG00001000047,1317,1449,1515,1912,1420,1916,1076,1224,1501,1708,1420,1486
ENSCGRG00001000049,888,1146,720,876,894,900,1044,1074,826,861,999,948
ENSCGRG00001000050,14501,16996,21630,23234,16730,21149,16041,17263,17999,19022,16910,17010
ENSCGRG00001000055,1258,1528,1899,1584,1397,1729,1469,1583,1677,1985,1625,1533
ENSCGRG00001000057,50,84,184,172,93,103,96,52,62,140,93,112
ENSCGRG00001000058,20,15,23,36,26,45,9,20,23,33,21,20
ENSCGRG00001000059,756,929,1313,1615,1158,1146,877,893,934,1072,991,871
ENSCGRG00001000061,2321,2954,5009,5213,3624,4467,3242,3575,4115,4607,3823,3578
ENSCGRG00001000065,32098,35075,55239,48405,42026,44513,38471,38780,43842,46877,34325,34501
ENSCGRG00001000066,10608,11733,9833,10642,10527,12185,11174,11724,12351,12989,11731,11432
ENSCGRG00001000067,138,135,116,144,170,250,162,181,209,217,166,106
ENSCGRG00001000070,33,77,107,129,52,75,57,53,52,83,76,66
