ENSCGRG-Id,logFC,PValue,FDR
ENSCGRG00001021340,-0.711283663457875,9.9951824710355e-05,0.0013047138892887
ENSCGRG00001007206,-0.450617969937672,9.91992164126594e-06,0.000208189733116293
ENSCGRG00001000041,-0.439190038170964,9.89355796457507e-07,3.26815515518578e-05
ENSCGRG00001020969,0.334049267397331,9.87911696210242e-06,0.000207669944062117
ENSCGRG00001011190,0.302271703316436,9.83741504941514e-05,0.00128541561528634
ENSCGRG00001024618,-0.316182232910178,9.81221360134817e-05,0.0012834177164026
ENSCGRG00001019058,0.44102049485647,9.8075907094553e-06,0.000206501613165425
ENSCGRG00001007710,0.379091749758375,9.80718230814168e-05,0.0012834177164026
ENSCGRG00001015993,0.803977278438982,9.78757716514864e-08,4.78261647967961e-06
ENSCGRG00001022057,0.287584702581159,9.72059840032044e-05,0.00127400838750758
ENSCGRG00001012965,-1.47192049018061,9.67579746346218e-05,0.00126942149295209
ENSCGRG00001003298,2.28460811042383,9.67267637789615e-05,0.00126942149295209
ENSCGRG00001011891,-1.13819950770174,9.66590113324535e-10,1.04303128145328e-07
ENSCGRG00001005585,0.610216879272474,9.65267763189441e-09,7.10184787814777e-07
ENSCGRG00001016450,0.548472144036106,9.62879260091401e-05,0.00126581964862168
ENSCGRG00001017515,-0.848593424625951,9.59269011745427e-10,1.04303128145328e-07
ENSCGRG00001002831,-0.425391407338756,9.58716980588563e-06,0.000202189351492529
ENSCGRG00001012738,8.87555544246355,9.5845011503969e-13,4.59665575542553e-10
ENSCGRG00001011587,1.81739940617081,9.5836719209019e-05,0.00126116837097316
ENSCGRG00001013831,-0.387695493971022,9.53973733404617e-05,0.00125666387323056
ENSCGRG00001006966,-0.297564399648137,9.51431981255372e-05,0.0012545919272175
ENSCGRG00001017628,-0.994900059257234,9.48030850258264e-09,7.01488655999672e-07
ENSCGRG00001017788,0.85211716955499,9.47275024203527e-07,3.13715199192109e-05
ENSCGRG00001022885,-0.886119845159084,9.44383769578684e-10,1.03634113832834e-07
ENSCGRG00001012085,-0.639422395011328,9.42235593195384e-07,3.12846376827873e-05
ENSCGRG00001013777,-0.46592081098382,9.40261515605395e-07,3.12846376827873e-05
ENSCGRG00001009449,-0.806256667137168,9.39092469537418e-05,0.0012395829141733
ENSCGRG00001018368,-0.419991309408847,9.38957007796395e-05,0.0012395829141733
ENSCGRG00001024212,-0.336816427864436,9.36711928029407e-06,0.00019787084430755
ENSCGRG00001012871,-0.291252209449312,9.31164590112715e-05,0.00123162924181507
ENSCGRG00001013683,-1.1266947179114,9.29695642779226e-09,6.91875222893574e-07
ENSCGRG00001021347,3.95335445002555,9.28324512286663e-12,2.35703413913725e-09
ENSCGRG00001020314,1.17567532742389,9.27655379144622e-07,3.09593028467622e-05
ENSCGRG00001006206,-0.343757310282516,9.26974716302398e-05,0.00122734106353781
ENSCGRG00001020998,-0.318435973224892,9.25813283208476e-05,0.00122705795335379
ENSCGRG00001001000,-0.735060201643528,9.25271714303666e-09,6.91875222893574e-07
ENSCGRG00001014318,-1.11133624240592,9.24168469015077e-10,1.02282542780139e-07
ENSCGRG00001013317,2.26033667596411,9.24027441332053e-11,1.32947014864542e-08
ENSCGRG00001012170,-0.552833284329113,9.2379682835857e-06,0.000195461521738809
ENSCGRG00001012552,-1.76827262051297,9.2116890768188e-05,0.00122215329770212
ENSCGRG00001021081,-1.51005632939968,9.20987189637051e-10,1.02282542780139e-07
ENSCGRG00001007365,0.954685300348762,9.19721303497566e-09,6.91875222893574e-07
ENSCGRG00001015642,-0.418413722477702,9.17847377825502e-05,0.00121899545594486
ENSCGRG00001000481,4.9796082543977,9.15652876783675e-11,1.32947014864542e-08
ENSCGRG00001004715,0.599323539252719,9.14536687666678e-06,0.000193818912742976
ENSCGRG00001020295,2.47474078244953,9.08052049336601e-13,4.52244845648448e-10
ENSCGRG00001000503,-0.625707128790668,9.06424854665827e-05,0.00120506113378519
ENSCGRG00001017664,-1.02578212378843,9.06080985571659e-12,2.34656853643348e-09
ENSCGRG00001021991,-0.359898186611071,9.05905838991741e-05,0.00120506113378519
ENSCGRG00001010142,-0.395995508165536,9.05900393670725e-06,0.000192303347502332
ENSCGRG00001021125,-0.874602808599093,9.04636930581497e-06,0.000192303347502332
ENSCGRG00001020337,3.88170112142368,9.03078358827597e-08,4.42953093502218e-06
ENSCGRG00001014120,-1.06892892136779,9.0253701659626e-08,4.42953093502218e-06
ENSCGRG00001016375,-0.514123376308996,9.01815509019288e-07,3.01747003263327e-05
ENSCGRG00001020956,0.35412863267449,9.00338138708182e-06,0.000191751292074544
ENSCGRG00001000402,0.439209863300695,8.96785661778305e-05,0.00119469933481145
ENSCGRG00001015794,0.326904930958964,8.96345747052663e-06,0.000191215503765814
ENSCGRG00001023715,2.88967072624206,8.95481609549118e-08,4.42579822979066e-06
ENSCGRG00001012726,0.295712475938676,8.9321882607725e-05,0.00119117307712403
ENSCGRG00001014991,0.594390930069043,8.91717970525248e-07,2.99141347158845e-05
ENSCGRG00001007635,1.20493865150758,8.91024546544027e-09,6.7472964053793e-07
ENSCGRG00001023829,-0.541287027939504,8.90177158906796e-08,4.41643832593261e-06
ENSCGRG00001014937,0.810842301068051,8.89590155817311e-11,1.30901169632709e-08
ENSCGRG00001019005,-0.278833806831279,8.89022070097976e-05,0.0011867986377009
ENSCGRG00001016350,-0.347562396125834,8.87058475704979e-05,0.00118539940164126
ENSCGRG00001000682,2.17619402454607,8.84953267432951e-12,2.3386244612223e-09
ENSCGRG00001007046,-0.88374158333914,8.84536549485971e-10,9.95988154721204e-08
ENSCGRG00001006336,0.421486668301279,8.82537099361049e-07,2.96830464925357e-05
ENSCGRG00001020644,0.255842495334638,8.81914013863207e-05,0.00117974220718127
